      S-1:          S-2:          S-3:          S-4:          S-5:          S-6:          S-7:          S-8:          S-9:    
   7652.003910      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   7747.800587      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   7843.597263      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   7939.393939      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   8035.190616      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   8130.987292      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   8226.783969      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   8322.580645      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   8418.377322      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   8514.173998      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   8609.970674      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   8705.767351      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   8801.564027      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   8897.360704      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   8993.157380      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   9088.954057      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   9184.750733      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   9280.547410      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000
   9376.344086      0.000000      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
   9472.140762      0.000000      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
   9567.937439      0.000000      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
   9663.734115      0.000000      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
   9759.530792      0.000000      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
   9855.327468      0.000000      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
   9951.124145      0.000000      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
  10046.920821      0.000001      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
  10142.717498      0.000001      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
  10238.514174      0.000001      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
  10334.310850      0.000001      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
  10430.107527      0.000001      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
  10525.904203      0.000001      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
  10621.700880      0.000001      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
  10717.497556      0.000001      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
  10813.294233      0.000001      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
  10909.090909      0.000001      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
  11004.887586      0.000001      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
  11100.684262      0.000001      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
  11196.480938      0.000001      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
  11292.277615      0.000001      0.000000      0.000000      0.000000      0.000000      0.000001      0.000000      0.000000      0.000000
  11388.074291      0.000001      0.000000      0.000000      0.000000      0.000001      0.000002      0.000000      0.000000      0.000000
  11483.870968      0.000001      0.000000      0.000001      0.000001      0.000001      0.000002      0.000000      0.000000      0.000000
  11579.667644      0.000001      0.000000      0.000001      0.000001      0.000001      0.000002      0.000000      0.000000      0.000000
